RecipeName,Cuisine,Course,Diet,Ingredients
Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),North Indian Recipes,Indian Breakfast,High Protein Vegetarian,"['1 cup Whole Wheat Flour', '1 cup Spinach - chopped', '1 cup Kaddu (Parangikai/ Pumpkin) - grated (red one preferably)', '1 teaspoon Red Chilli powder', '1/2 teaspoon Turmeric powder (Haldi)', '1/2 teaspoon Coriander Powder (Dhania)', '1/2 teaspoon Cumin seeds (Jeera)', '1/4 teaspoon Salt', 'Water - as required for dough', 'Sunflower Oil - as required for rotis']"
Iranian Baida Curry Recipe,Middle Eastern,Lunch,Eggetarian,"['4 Whole Egg', '1 Onion - chopped', '1 tablespoon Jaggery', 'Salt - to taste', 'Sunflower Oil', '1 sprig Coriander (Dhania) Leaves', '1/4 cup Fresh coconut - grated', '2 tablespoon Coriander (Dhania) Seeds', '3 Dry Red Chilli', '1 tablespoon Sesame seeds (Til seeds)', '1 tablespoon Poppy seeds', '1 inch Ginger - chopped', '5 cloves Garlic - chopped', '8 Badam (Almond)']"
Vegan Chickpea Omelette Recipe (Spiced Chickpea Flour Pancakes),North Indian Recipes,North Indian Breakfast,High Protein Vegetarian,"['1 cup Gram flour (besan)', '1/2 cup Coconut milk', '3/4 cup Water', '1 inch Ginger - grated', '2 cloves Garlic - grated', '1/2 teaspoon Ajwain (Carom seeds)', '1/4 teaspoon Asafoetida (hing)', '1/4 teaspoon Turmeric powder (Haldi)', '1/4 teaspoon Baking soda', '2-3 Green Chillies - finely chopped', '1 Onion - finely chopped', '1 Tomato - finely chopped', 'Coriander (Dhania) Leaves - A handful finely chopped', 'Salt - to taste', 'Sunflower Oil - for cooking']"
Peanut Pudding Recipe - Salt Pudding / Firm Mod Modak,Maharashtrian Recipes,Snack,Vegetarian,"['1 cup Rice flour', '1 cup Water', '1 teaspoon Sunflower Oil', '1/4 teaspoon Salt', '1 cups White Urad Dal (Whole) - soaked for 4 hours', '2 Green Chillies - chopped', '1 inch Ginger - chopped', '1/4 teaspoon Asafoetida (hing)', 'Salt - to taste', '1 teaspoon Sesame (Gingelly) Oil', '1 teaspoon Mustard seeds', '1 sprig Curry leaves - finely chopped']"
Singapore Style Chicken Layered Fried Rice Recipe,Asian,Main Course,Vegetarian,"['300 grams Boneless chicken - cut into 1/2 inch cubed', '2 Spring Onion Greens - finely chopped', '2 Green Chillies - chopped', '1 teaspoon Garlic - minced', '1 tablespoons Soy sauce', '1 tablespoon Lemon juice', '1 teaspoon Black pepper powder', '1/2 teaspoon Red Chilli powder', '1/2 teaspoon Cumin powder (Jeera)', '1 tablespoon Red Chilli sauce', '1 tablespoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce)', 'Salt - to taste', '1 tablespoon Red Chilli sauce', '3 teaspoons Sunflower Oil', '2 cups Rice - soaked for 10 minutes', '1 tablespoons Garlic - crushed', '1 tablespoons Ginger - crushed', '2 Green Chillies - slit and roasted', '1 Green Bell Pepper (Capsicum) - sliced', '1 Spring Onion (Bulb & Greens) - chopped', '1 Onions - cubed', '1 Carrots (Gajjar) - cubed', 'Salt - to taste', '1 teaspoon Chinese 5 Spice Powder', '1 teaspoon White pepper powder', '3 teaspoons Sunflower Oil', '250 grams Egg noodles - boiled and tossed in a teaspoon oil', '1/2 cup Classic Mayonnaise (With Egg)', '2 tablespoons Tomato Ketchup', '2 tablespoons Red Chilli sauce', '1 tablespoon Vinegar']"
Tofu Pulao Recipe,Indian,Dinner,Vegetarian,"['1 cup rice', '2 tbsp ghee', '1 tsp cumin', '1 bay leaf', '1 cinnamon stick', '3 cloves', '2 green chillies – chopped', '1 tbsp ginger garlic paste', '2 onions – chopped', '2 tomatoes – Cut', '1/2 capsicum (green) - red or yellow', '1/2 tsp red chili powder', '1/2 tsp turmeric powder', '1 tsp coriander powder', '1/2 tsp garam masala powder', '1 cup Tofu - chopped', 'salt - as per taste', 'green coriander - for garnish']"
Masala Sandwich Recipe With Rocket Leaves,Fusion,Indian Breakfast,Vegetarian,"['100 grams Paneer (Homemade Cottage Cheese)', '2 Potatoes (Aloo) - boiled and mashed', '1 Onion - julienned', '1 inch Ginger - grated', '2 cloves Garlic - grated', '2 Green Bell Pepper (Capsicum) - julienned', '3 Tomatoes - finely chopped', 'Pav bhaji masala - to taste', 'Salt - to taste', '2 tablespoons Coriander (Dhania) Leaves - finely chopped', 'French bread - or rye bread to make sandwiches', 'Rocket leaves - or salad leaves for the sandwich']"
Tomato Relish Recipe,Continental,Side Dish,Vegetarian,"['2 cups Tomatoes - chopped', '1/2 Onion - finely chopped', '1/2 cup Red Wine Vinaigrette', '1/2 Dried oregano', '2 cloves Garlic - minced', '1/2 Black pepper powder', '1/2 Dijon Mustard', '3 tablespoon Cane sugar', '2 to 3 tablespoons Extra Virgin Olive Oil', 'Salt - to taste']"
Dubuk Vade Recipe - Khandeshi Gram Flour Dumpling Curry,Maharashtrian Recipes,Lunch,Vegetarian,"['2 Onions - finely chopped', '4 cloves Garlic - chopped', '1/4 cup Fresh coconut - grated', '1/2 cup Coriander (Dhania) Leaves - chopped', '1 teaspoon Cumin seeds (Jeera)', '1 tablespoon Red Chilli powder', '1/2 teaspoon Turmeric powder (Haldi)', '3 tablespoon Garam masala powder', 'Salt - to taste', '1/2 cup Gram flour (besan)', '1 teaspoon Red Chilli powder', '1/2 teaspoon Turmeric powder (Haldi)', '1 teaspoon Salt - to taste']"
Radish Soup Recipe,Indian,Side Dish,Vegetarian,"['8 Mooli/ Mullangi (Radish) - purple one', '2 cups Water', '1/4 teaspoon Garam masala powder', '1/2 teaspoon Salt', '1/2 teaspoon Black pepper powder', 'Mooli/ Mullangi (Radish) - slices', 'Coriander (Dhania) Leaves - as required for garnish (chopped)']"
Mango Donut Cake Recipe With Chocolate Glaze,Continental,Dessert,Vegetarian,"['1-1/2 cups Vivatta Maida', '3/4 cup Mango Pulp (Puree)', '1-1/2 teaspoons Baking powder', '1/4 teaspoon Baking soda', '1/4 cup Sunflower Oil', '1/4 cup Sugar', '1/4 teaspoon Salt', '1 teaspoon Vanilla Extract', '150 grams Dark chocolate - chopped', '1/4 cup Fresh cream', '2 tablespoons Cocoa Powder', '3 Sugar - powdered']"
Matar Paneer Kachori Korma Recipe - Green Peas And Paneer Kachori Curry,North Indian Recipes,Lunch,Vegetarian,"['1 cup All Purpose Flour (Maida)', '2 tablespoons Sunflower Oil', '1/2 teaspoons Ajwain (Carom seeds)', 'Salt - to taste', 'Sunflower Oil - as required for frying', '1 cup Green peas (Matar)', '1 cup Paneer (Homemade Cottage Cheese) - crumbled', '1 teaspoon Coriander Powder (Dhania)', '1 teaspoon Red Chilli powder', '1 teaspoon Amchur (Dry Mango Powder)', '1/2 teaspoon Turmeric powder (Haldi)', '2 teaspoons Sunflower Oil', 'Salt and Pepper - to taste', '1 cup Onion - chopped', '1 cup Homemade tomato puree', '1 teaspoon Ginger Garlic Paste', '12 Whole cashews', '1/2 cup Curd (Dahi / Yogurt)', '2 Cloves (Laung)', '1 Mace (Javitri)', '2 Cardamom (Elaichi) Pods/Seeds', '1 inch Cinnamon Stick (Dalchini)', '1/2 teaspoon Cumin seeds (Jeera)', '1/2 teaspoon Garam masala powder', '1 teaspoon Red Chilli powder', '1/2 teaspoon Turmeric powder (Haldi)', '1 teaspoon Coriander Powder (Dhania)', '1/2 teaspoon Kasuri Methi (Dried Fenugreek Leaves)', '1/2 teaspoon Sugar', 'Salt - to taste', 'Coriander (Dhania) Leaves - as required', 'Fresh cream - as required for garnishing', '2 tablespoons Sunflower Oil']"
Zucchini Roll Up Lasagne Recipe,Continental,Dinner,Vegetarian,"['3 Green zucchini - thinly sliced', 'Salt - to taste', 'Extra Virgin Olive Oil - for cooking', '1/2 cup Mozzarella cheese - grated', '1-1/2 Green zucchini - finely chopped', '1 Red Bell pepper (Capsicum) - finely chopped', '1 Onion - finely  chopped', '4 cloves Garlic - finely diced', '1 teaspoon Dried Thyme Leaves', '1 teaspoon Rosemary', '1 teaspoon Red Chilli flakes', 'Salt - to taste', '500 grams Tomatoes', '1 Onion - finely chopped', '8 cloves Garlic - finely chopped', '2 teaspoons Black pepper corns - crushed', '2 teaspoon Red Chilli flakes', '1 teaspoon Sugar', '1/4 cup Basil leaves - chopped', 'Salt - to taste']"
Thengai Sadam Recipe (A Quick and Healthy Coconut Rice),South Indian Recipes,Lunch,Vegetarian,"['1 cup Fresh coconut - grated', '2-1/2 cups Cooked rice', '1 teaspoon Mustard seeds', '2 teaspoons White Urad Dal (Split)', '2 teaspoons Chana dal (Bengal Gram Dal)', '1 Raw Peanuts (Moongphali) - fistful', '1 sprig Curry leaves', '3 or 4 Green Chillies - finely chopped', '1 teaspoon Ginger - grated', '1 + 1 tablespoon Coconut Oil', 'Salt - to taste']"
Karwar Style Ambade Udid Methi Recipe - Hog Plum Curry,Coastal Karnataka,Lunch,Vegetarian,"['5 Hog Plum (Amtekai) - (Ambade)', '3/4 cup Fresh coconut - grated', '1/4 teaspoon Turmeric powder (Haldi)', '1 tablespoon Coriander (Dhania) Seeds', '1 teaspoon Black Urad Dal (Split)', '1 teaspoon Rice - (raw rice)', '1/4 teaspoon Methi Seeds (Fenugreek Seeds)', '6 Whole Black Peppercorns', '4 Dry Red Chilli', '2 tablespoons Jaggery', '1 pinch Asafoetida (hing)', '1 Karela (Bitter Gourd/ Pavakkai) - (Small)', 'Salt - to taste', '2 teaspoons Sunflower Oil', '2 teaspoons Sunflower Oil', '1/2 teaspoon Mustard seeds', '1 pinch Asafoetida (hing)']"
Roasted Cauliflower Recipe,South Indian Recipes,Dinner,Vegetarian,"['2 cups Cauliflower (gobi)', '4 Garlic - sliced', '2 teaspoon Cumin seeds (Jeera) - roasted and crushed', '1 teaspoon Coriander Powder (Dhania)', '2 teaspoon Black pepper powder - or red chilli powder', '3 tablespoon Extra Virgin Olive Oil', '1/4 cup Anardana Powder (Pomegranate Seed Powder)', '2 tablespoons Pomegranate molasses - orhoney (optional but recommended)', 'Fresh Herbs - Handful of herbs of choice like basil', 'Salt - to taste']"
Pain Viennois | Vienna Bread Recipe,European,Main Course,Eggetarian,"['325 ml Lukewarm Water', '14 grams Active dry yeast', '2 tablespoons Sugar', '30 grams Milk Powder', '500 grams Vivatta Maida - or half of bread flour', '1 tablespoon Salt - or to taste', '3 tablespoons Butter (unsalted)', 'Egg white - for brushing (or milk)']"
Crunchy Ginger Capsicum Rice Recipe,Indian,Lunch,Vegetarian,"['2 cups Basmati rice - cooked', '1 Yellow Bell Pepper (Capsicum)', '1 Red Bell pepper (Capsicum)', '1 Green Bell Pepper (Capsicum)', '2 Green Chillies - finely chopped', '2 inch Ginger - grated', '2 teaspoon Butter', '2 teaspoon Sesame seeds (Til seeds) - mixed black and white', 'Salt - to taste']"
Bengali Chirer Payesh / Poha Pudding Recipe With Nolen Gur,Bengali Recipes,Dessert,Vegetarian,"['1/2 cup Poha (Flattened rice)', '2 tablespoons Rice flour', '2 1/2 liter Milk', '1 cup Nolen Gur - or brown sugar', '2 Cardamom (Elaichi) Pods/Seeds', '8-10 Mixed nuts - almonds/cashews', '1 tablespoon Raisins', '1 pinch Saffron strands - and a little more for garnish', 'pinch Salt']"
Makhan Recipe (Homemade Butter),North Indian Recipes,Side Dish,Vegetarian,"['2 cups Fresh cream', '1 cup Water']"
Shanghai Style Chap Nian Gao Recipes (Stir Fried Rice Cakes Recipes),Chinese,One Pot Dish,Vegetarian,"['1 cup Rice flour', 'Salt - to taste', 'Sunflower Oil - for cooking', '1 Bok Choy - sliced', '1 Carrot (Gajjar) - thinly sliced', '1/2 cup Cabbage (Patta Gobi/ Muttaikose)', '1/2 cup Button mushrooms - quartered', '2 tablespoons Corn flour', '1 tablespoon Dark soy sauce', '1 tablespoon Bean Paste', '1 teaspoon Red Chilli sauce', '1 teaspoon Sugar', 'Sunflower Oil - for cooking', 'Salt - to taste']"
White Pumpkin Mor Kuzhambu Recipe - Kerala Style White Pumpkin Curry,Kerala Recipes,Lunch,Vegetarian,"['1-1/2 cups Curd (Dahi / Yogurt) - thick', '1/2 cup Fresh coconut', '1 cup Vellai Poosanikai (Ash gourd/White Pumpkin) - cubed', '4 Green Chillies', '1/4 teaspoon Black pepper powder', '1/3 cup Water', '1/4 teaspoon Turmeric powder (Haldi)', 'Salt - as per your taste', '1 teaspoon Coconut Oil', '1/4 teaspoon Mustard seeds', '1/4 teaspoon Methi Seeds (Fenugreek Seeds)', '1 sprig Curry leaves', '1 Dry Red Chilli']"
Paneer and Green Peas Paratha Recipe - Paneer and Green Peas Paratha Recipe,North Indian Recipes,North Indian Breakfast,High Protein Vegetarian,"['1/2 cup green peas - make a paste', '1 cup paneer - crumble', '1 inch ginger - chop', '1 green chilli - chop', '1 tsp turmeric powder', '2 tsp red chilli powder', '1 tsp Dry mango powder', '1 tsp coriander powder', 'salt - as per taste', '1 cup wheat flour', 'salt - as per taste', 'oil - as per use', 'water - lukewarm']"
Elephant Yam Raita (Recipe In Hindi),Indian,Side Dish,Vegetarian,"['250 grams elephant yam', '1/2 green chilli', '1 inch ginger', '3 tablespoons coriander - chopped', 'salt - as per taste', '1 cup curd', '1 teaspoon oil', 'asafoetida - a pinch', '1-1/2 small Tablespoon mustard seeds', '1-1/2 teaspoon black urad dal (split)']"
Drunken Noodles Recipe - Drunken Noodles Recipe,Thai,Main Course,Vegetarian,"['200 grams rice noodles', '1/2 cup baby corn - chopped', '1/4 cup capsicum (red) - chopped', '1/4 cup capsicum (yellow) - chopped', '1/4 cup capsicum (green) ) - chop', '1/4 cup Thai basil leaves - chop', '1/3 cup green onions', '6 cloves garlic - chop finely', '1 inch ginger - chop finely', '1/2 tbsp brown sugar', '1/ 2 tbsp honey', '1 tbsp soy sauce', '1 tbsp fish sauce', '1 tbsp sriracha sauce']"
Chettinad Style Prawn Biryani Recipe,Chettinad,Lunch,Non Vegeterian,"['200 grams Shrimps - or prawns', '1-1/2 cups Basmati rice', '4-5 Shallots', '1 tablespoon Ginger - paste', '1 tablespoon Garlic - paste', '3 tablespoons Fresh coconut - grated', '1 teaspoon Green Chilli - paste', '1/2 cup Hung Curd (Greek Yogurt)', '2 sprig Curry leaves', '1 cup Sunflower Oil', '2 tablespoons Ghee', '1 teaspoon Coriander Powder (Dhania)', '1 teaspoon Red Chilli powder', '1/2 teaspoon Turmeric powder (Haldi)', '1 teaspoon Garam masala powder', '5-6 Whole Black Peppercorns', '4 Cardamom (Elaichi) Pods/Seeds', '2 Black cardamom (Badi Elaichi)', '1 inch Cinnamon Stick (Dalchini)', '2 Bay leaves (tej patta)', '2-3 Dry Red Chilli', '1/2 teaspoon Cumin seeds (Jeera)']"
Walnut and Flax Seed Trail Mix Recipe With Figs and Honey,Continental,World Breakfast,Vegetarian,"['1 cup Walnuts', '1 cup Dried Figs', '1/3 cup Flax seeds', '1/3 cup Honey', '1/2 cup Roasted Peanuts (Moongphali)', '1 teaspoon Cinnamon Powder (Dalchini)']"
Murgh Malaiwala Recipe - Chicken In Rich Creamy Gravy,North Indian Recipes,Lunch,Non Vegeterian,"['500 gram Chicken - cut into pieces', '2 teaspoon Ginger - paste', '1 teaspoon Garlic - paste', '2 tablespoon Fresh cream', '1 tablespoon Badam (Almond) - paste', '1/2 teaspoon Lemon juice', '1/4 teaspoon Black pepper powder', 'Salt - to taste', '1 Onion - sliced', '1/2 cup Fresh cream', '1 cup Milk', '2 Cardamom Powder (Elaichi)', '1 inch Cinnamon Stick (Dalchini)', '2 Bay leaf (tej patta)', '2 teaspoon Kasuri Methi (Dried Fenugreek Leaves)', '4 teaspoon Ghee']"
Paal Kesari Recipe - South Indian Style Milk Kesari,South Indian Recipes,Dessert,Vegetarian,"['1/2 cup Sooji (Semolina/ Rava)', '1/2 teaspoon Ghee - for roasting the rava', '3 cups Milk', '3/4 cup Sugar', '5 Saffron strands - (lightly powdered using mortar and pestle)', '1 Cardamom (Elaichi) Pods/Seeds - crushed (optional)', '1 teaspoon Ghee', '5 Cashew nuts', '5 Raisins', '1 Mixed dry fruits - chopped']"
Spicy Lemon Chicken Kebab Recipe,Indian,Appetizer,Non Vegeterian,"['1 Chicken breasts - cut into cubes', '1 Red Bell pepper (Capsicum) - cut into squares', '1 Onion - cut into chunks', '1 Lemon juice', '1 teaspoon Dried Thyme Leaves', '1 teaspoon Red Chilli flakes', '1 teaspoon Black pepper powder', '2 tablespoon Extra Virgin Olive Oil', 'Salt - to taste']"
Gond Ke Ladoo Recipe - Edible Gum Ladoo,North Indian Recipes,Dessert,Vegetarian,"['150 grams Goond (Edible Gum)', '350 grams Ghee', '400 grams Whole Wheat Flour', '400 grams Sugar - powdered', '50 grams Dry coconut (kopra)', '50 grams Badam (Almond) - chopped', '50 grams Cashew nuts - chopped']"
Mukhadi Halwa Recipe (Semolina & All Purpose Flour Halwa),North Indian Recipes,Dessert,Vegetarian,"['1 cup Sooji (Semolina/ Rava)', '3 tablespoons All Purpose Flour (Maida)', '1 cup Milk - +1/3 cup extra', '1 cup Sugar', '3/4 cup Ghee']"
Basil Tincture Recipe (Or) - Herbal Drink From Basil,Indian,Side Dish,Vegetarian,"['2 cups Water', '1 Tulsi (holy basil)', '1/2 teaspoon Black pepper powder', '1/2 teaspoon Dry ginger powder', '1 teaspoon Palm sugar - (Panakalkandu)']"
Carrot Corn Mayo Pancake Recipe With Sandwich Spread,Continental,World Breakfast,Vegetarian,"['2 Carrot (Gajjar) - peeled and grated', '3/4 cup Sweet corn - blanched', '1 cup Whole Wheat Flour', '1 Onion - finely chopped', '5 tablespoons Del Monte Sandwich Spread', '1/4 cup Coriander (Dhania) Leaves - finely chopped', '1/3 cup Curd (Dahi / Yogurt) - whisked', '3 Whole Eggs', '1 teaspoon Baking powder', '1/4 teaspoon Baking soda', '1 Green Chillies - finely chopped', 'Butter - as required', 'Salt - to taste', 'Black pepper powder - to taste']"
Tamil Nadu Style Spicy Egg Fry Recipe,Tamil Nadu,Appetizer,Eggetarian,"['2 Whole Eggs', 'Sunflower Oil - for frying', '3 tablespoons Roasted Gram Dal (Pottukadalai)', '2 Dry Red Chillies', '1 inch Ginger - chopped', '4 cloves Garlic', '1 tablespoon Whole Black Peppercorns', 'Salt - to taste']"
Chirer Dudh Puli Recipe - Bengali Style Baten Rice Dumpling Milk,Bengali Recipes,Dessert,Vegetarian,"['2 cups Fresh coconut - grated', '1 cup Palm jaggery - use date palm jaggery', '1 cup Poha (Flattened rice)', '1/2 cup All Purpose Flour (Maida)', '1/4 cup Sooji (Semolina/ Rava)', '4 tablespoons Milk - warm', '1 liter Milk', '3/4 cup Palm jaggery - use date palm jaggery']"
Waffle Broth Recipe - Puppet's Yamarinta Crovy,South Indian Recipes,Lunch,Vegetarian,"['1 tablespoon Gingelly oil', '1/4 teaspoon Mustard seeds', '1/4 teaspoon Methi Seeds (Fenugreek Seeds)', 'Asafoetida (hing) - a pinch', '3 Dry Red Chillies', '1/2 cup Pearl onions (Sambar Onions) - halved', '1 sprig Curry leaves', '3 Urad dal papad - broken in to quarters', '1 cup Tamarind Water', '1 teaspoon Sambar Powder', '1 tablespoon Jaggery', '1/4 teaspoon Turmeric powder (Haldi)', '3 cups Water', 'Salt - as needed']"
Kashmiri Style Modur Pulao With Pomegranate Recipe,Kashmiri,Lunch,Vegetarian,"['1 cup Basmati rice - soaked for 1/2 hour', '3 Cinnamon Stick (Dalchini)', '2 Cloves (Laung)', '1 Cardamom (Elaichi) Pods/Seeds', '3/4 cup Milk - (adjust)', '1-1/2 cup Water', '1 pinch Saffron strands', '1 teaspoon Cumin powder (Jeera) - roasted', '1 teaspoon Sunflower Oil', 'Salt - to taste', '1/2 cup Anardana Powder (Pomegranate Seed Powder) - cleaned', '2 teaspoon Cashew nuts', '3 teaspoon Badam (Almond)', '2-5 teaspoon Raisins - optional', '4 Dates - pitted and sliced', 'Ghee - as required']"
North Indian Style Mushroom Matar Masala Recipe,North Indian Recipes,Lunch,High Protein Vegetarian,"['1 cup Button mushrooms - chopped', '1 cup Green peas (Matar) - boiled', 'Sunflower Oil - as required', '1/2 teaspoon Cumin seeds (Jeera)', '1/2 teaspoon Mustard seeds', 'Asafoetida (hing) - a pinch', '1 Onion - chopped', '1 Onion - paste', '1 Tomato - paste', '1 tablespoon Ginger Garlic Paste', '1 Green Chilli - chopped', '1/2 teaspoon Red Chilli powder', '1/2 teaspoon Turmeric powder (Haldi)', '1 teaspoon Coriander Powder (Dhania)', '1/4 teaspoon Garam masala powder', 'Water - as required', '2 sprig Coriander (Dhania) Leaves - chopped']"
Dhania Chole Masala Recipe - Chickpeas In Fresh Coriander Gravy,North Indian Recipes,Main Course,High Protein Vegetarian,"['1/2 cup Coriander (Dhania) Leaves - chopped', '4 Green Chillies', '1 inch Ginger', 'Salt - to taste', '1 Lemon - juice extracted', '2 cups Kabuli Chana (White Chickpeas) - soaked overnight', '1 tablespoon Ghee', '1 Onion - finely chopped', '1 inch Ginger - finely chopped', '3 cloves Garlic - finely chopped', '1 Cinnamon Stick (Dalchini)', '1 Bay leaf (tej patta)', '1 Brown cardamom (Badi Elaichi)', '1 teaspoon Black Salt (Kala Namak)', '1/4 teaspoon Garam masala powder', '1 teaspoon Coriander Powder (Dhania)', '1/2 teaspoon Black Salt (Kala Namak)', 'Salt - to taste', 'Salt - to taste']"
Capsicum Masala Poriyal ,South Indian Recipes,Lunch,Vegetarian,"['1 tsp oil', '1 tsp mustard', '1 capsicum (yellow) – chopped', '1 capsicum (red) – chopped', '1 capsicum (green) – chopped', '1 onion – chopped', 'curry leaves – Some salt - as per taste', '1/2 cup peanuts - roasted', '1 tablespoon coconut', '4 dried red chillies', '3 cloves garlic - unpeeled', '1 teaspoon cumin seeds', '4 sprigs of coriander - chopped']"
Cheese Stuffed Aloo Bonda Recipe,Indian,Snack,Vegetarian,"['4 Potatoes (Aloo) - boiled and mashed', '50 grams Mozzarella cheese - cut into 1/2 inch pieces', '1 teaspoon Mustard seeds', '1 inch Ginger - grated', '1 Onion - finely chopped', '2 Green Chillies - chopped', '1/4 teaspoon Asafoetida (hing)', '1/2 teaspoon Turmeric powder (Haldi)', 'Coriander (Dhania) Leaves - small bunch', 'Sunflower Oil - as needed', '1 cup Gram flour (besan)', '1 teaspoon Turmeric powder (Haldi)', 'Salt - to taste']"
